Resultado,Pedra,Hora
"12.552,00",8,"
        13:28
      "
"11.024,00",8,"
        13:27
      "
"9.679,00",2,"
        13:27
      "
"16.335,00",2,"
        13:26
      "
"14.315,00",11,"
        13:26
      "
"24.050,00",10,"
        13:25
      "
"13.485,00",11,"
        13:25
      "
"7.212,00",1,"
        13:24
      "
"15.380,00",12,"
        13:24
      "
"-98.673,00",0,"
        13:23
      "
"17.062,00",3,"
        13:23
      "
"15.604,00",13,"
        13:22
      "
"-141.403,00",0,"
        13:22
      "
"14.315,00",11,"
        13:21
      "
"4.264,00",10,"
        13:21
      "
"7.998,00",6,"
        13:20
      "
"13.825,00",9,"
        13:20
      "
"13.442,00",1,"
        13:19
      "
"-135.245,00",0,"
        13:19
      "
"15.714,00",8,"
        13:18
      "
"14.998,00",11,"
        13:18
      "
"8.884,00",4,"
        13:17
      "
"10.613,00",8,"
        13:17
      "
"10.515,00",10,"
        13:16
      "
"4.242,00",14,"
        13:16
      "
"11.488,00",5,"
        13:15
      "
"5.847,00",1,"
        13:15
      "
"4.815,00",4,"
        13:14
      "
"6.666,00",10,"
        13:14
      "
"4.947,00",13,"
        13:13
      "
"19.011,00",5,"
        13:13
      "
"15.681,00",6,"
        13:12
      "
"-45,00",2,"
        13:12
      "
"9.112,00",11,"
        13:11
      "
"2.484,00",8,"
        13:11
      "
"4.461,00",6,"
        13:10
      "
"4.700,00",12,"
        13:10
      "
"12.857,00",5,"
        13:09
      "
"3.909,00",14,"
        13:09
      "
"7.327,00",4,"
        13:08
      "
"10.773,00",7,"
        13:08
      "
"8.058,00",9,"
        13:07
      "
"11.258,00",8,"
        13:07
      "
"13.207,00",7,"
        13:06
      "
"5.082,00",1,"
        13:06
      "
"12.082,00",14,"
        13:05
      "
"9.647,00",9,"
        13:05
      "
"13.715,00",9,"
        13:04
      "
"7.688,00",1,"
        13:04
      "
"14.261,00",10,"
        13:03
      "
"7.905,00",12,"
        13:03
      "
"1.490,00",10,"
        13:02
      "
"18.688,00",6,"
        13:02
      "
"15.162,00",1,"
        13:01
      "
"10.935,00",1,"
        13:01
      "
"7.049,00",1,"
        13:00
      "
"13.552,00",8,"
        13:00
      "
"10.401,00",12,"
        12:59
      "
"12.050,00",6,"
        12:59
      "
"-130.166,00",0,"
        12:58
      "
"10.406,00",12,"
        12:58
      "
"2.964,00",13,"
        12:57
      "
"9.407,00",4,"
        12:57
      "
"10.576,00",6,"
        12:56
      "
"15.670,00",13,"
        12:56
      "
"-2.223,00",1,"
        12:55
      "
"8.691,00",11,"
        12:55
      "
"9.970,00",14,"
        12:54
      "
"13.437,00",4,"
        12:54
      "
"-126.177,00",0,"
        12:53
      "
"16.161,00",2,"
        12:53
      "
"12.655,00",3,"
        12:52
      "
"14.654,00",12,"
        12:52
      "
"8.452,00",5,"
        12:51
      "
"8.386,00",6,"
        12:51
      "
"17.264,00",13,"
        12:50
      "
"8.730,00",8,"
        12:50
      "
"11.875,00",9,"
        12:49
      "
"10.374,00",2,"
        12:49
      "
"11.012,00",2,"
        12:48
      "
"16.920,00",11,"
        12:48
      "
"8.676,00",10,"
        12:47
      "
"5.842,00",4,"
        12:47
      "
"5.700,00",10,"
        12:46
      "
"6.917,00",1,"
        12:46
      "
"6.289,00",10,"
        12:45
      "
"12.705,00",5,"
        12:45
      "
"8.786,00",10,"
        12:44
      "
"4.466,00",12,"
        12:44
      "
"8.566,00",5,"
        12:43
      "
"13.332,00",1,"
        12:43
      "
"3.608,00",4,"
        12:42
      "
"16.178,00",12,"
        12:42
      "
"16.670,00",13,"
        12:41
      "
"2.669,00",8,"
        12:41
      "
"13.049,00",2,"
        12:40
      "
"8.632,00",12,"
        12:40
      "
"4.662,00",5,"
        12:39
      "
"10.166,00",11,"
        12:39
      "
"12.699,00",9,"
        12:38
      "
"-314.575,00",0,"
        12:38
      "
"21.032,00",14,"
        12:37
      "
"54.032,00",2,"
        12:37
      "
"32.754,00",2,"
        12:36
      "
"32.547,00",2,"
        12:36
      "
"14.109,00",2,"
        12:35
      "
"8.976,00",2,"
        12:35
      "
"11.815,00",10,"
        12:34
      "
